rome,rome_label,naf,naf_label,score
A1101,Conduite d'engins agricoles et forestiers,0161Z,Activités de soutien aux cultures,4.0
A1101,Conduite d'engins agricoles et forestiers,7731Z,Location et location-bail de machines et équipements agricoles,3.0
A1101,Conduite d'engins agricoles et forestiers,0210Z,Sylviculture et autres activités forestières,2.0
A1101,Conduite d'engins agricoles et forestiers,0114Z,Culture de la canne à sucre,2.0
A1101,Conduite d'engins agricoles et forestiers,0220Z,Exploitation forestière,2.0
A1101,Conduite d'engins agricoles et forestiers,0141Z,Élevage de vaches laitières,2.0
A1101,Conduite d'engins agricoles et forestiers,0150Z,Culture et élevage associés,2.0
A1101,Conduite d'engins agricoles et forestiers,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",2.0
A1101,Conduite d'engins agricoles et forestiers,0240Z,Services de soutien à l'exploitation forestière,1.0
A1101,Conduite d'engins agricoles et forestiers,0142Z,Élevage d'autres bovins et de buffles,1.0
A1101,Conduite d'engins agricoles et forestiers,0146Z,Élevage de porcins,1.0
A1101,Conduite d'engins agricoles et forestiers,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,1.0
A1101,Conduite d'engins agricoles et forestiers,3521Z,Production de combustibles gazeux,1.0
A1101,Conduite d'engins agricoles et forestiers,2365Z,Fabrication d'ouvrages en fibre-ciment,1.0
A1101,Conduite d'engins agricoles et forestiers,1091Z,Fabrication d'aliments pour animaux de ferme,1.0
A1201,Bûcheronnage et élagage,0240Z,Services de soutien à l'exploitation forestière,4.0
A1201,Bûcheronnage et élagage,0220Z,Exploitation forestière,4.0
A1201,Bûcheronnage et élagage,0210Z,Sylviculture et autres activités forestières,2.0
A1201,Bûcheronnage et élagage,8130Z,Services d'aménagement paysager,2.0
A1201,Bûcheronnage et élagage,0129Z,Autres cultures permanentes,1.0
A1201,Bûcheronnage et élagage,0990Z,Activités de soutien aux autres industries extractives,1.0
A1201,Bûcheronnage et élagage,4778B,Commerces de détail de charbons et combustibles,1.0
A1201,Bûcheronnage et élagage,1610A,"Sciage et rabotage du bois, hors imprégnation",1.0
A1202,Entretien des espaces naturels,0114Z,Culture de la canne à sucre,1.0
A1202,Entretien des espaces naturels,8130Z,Services d'aménagement paysager,1.0
A1203,Entretien des espaces verts,0721Z,Extraction de minerais d'uranium et de thorium,4.0
A1203,Entretien des espaces verts,8130Z,Services d'aménagement paysager,4.0
A1203,Entretien des espaces verts,0114Z,Culture de la canne à sucre,3.0
A1203,Entretien des espaces verts,0210Z,Sylviculture et autres activités forestières,3.0
A1203,Entretien des espaces verts,0126Z,Culture de fruits oléagineux,3.0
A1203,Entretien des espaces verts,0122Z,Culture de fruits tropicaux et subtropicaux,3.0
A1203,Entretien des espaces verts,8810C,Aide par le travail,3.0
A1203,Entretien des espaces verts,7810Z,Activités des agences de placement de main-d'œuvre,2.0
A1203,Entretien des espaces verts,8411Z,Administration publique générale,2.0
A1203,Entretien des espaces verts,8899B,Action sociale sans hébergement n.c.a.,2.0
A1203,Entretien des espaces verts,7830Z,Autre mise à disposition de ressources humaines,2.0
A1203,Entretien des espaces verts,9499Z,Autres organisations fonctionnant par adhésion volontaire,2.0
A1203,Entretien des espaces verts,0149Z,Élevage d'autres animaux,2.0
A1203,Entretien des espaces verts,0220Z,Exploitation forestière,2.0
A1203,Entretien des espaces verts,0119Z,Autres cultures non permanentes,2.0
